TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1585253237729	0.000000	0.000002	0.703682	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585253237725388100.png
1585253237779	0.000000	0.000002	0.703718	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000002	img__0_1585253237777407600.png
1585253237829	0.000000	0.000002	0.703843	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585253237825499500.png
1585253237885	0.000000	0.000002	0.703872	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585253237882636000.png
1585253237937	0.000000	0.000002	0.703854	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000001	img__0_1585253237932939700.png
1585253237986	0.000000	0.000002	0.703490	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000002	img__0_1585253237984339100.png
1585253238036	0.000000	0.000002	0.703656	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585253238034419100.png
1585253238086	0.000000	0.000002	0.703691	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585253238084496800.png
1585253238136	0.000000	0.000002	0.703667	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585253238135023400.png
1585253238187	0.000000	0.000002	0.703822	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585253238183338800.png
1585253238235	0.000000	0.000002	0.703789	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	8.391266	-0.000000	img__0_1585253238233505300.png
1585253238285	0.000000	0.000002	0.703796	1.000000	0.000031	0.000000	0.000000	1.000000	0.000000	0.000000	0	0	71.737183	-0.000000	img__0_1585253238284065700.png
