TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1585245710243	0.000000	0.000007	0.703599	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000001	img__0_1585245710241795800.png
1585245710291	0.000000	0.000007	0.703856	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710288532800.png
1585245710335	0.000000	0.000007	0.703656	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000001	img__0_1585245710334077700.png
1585245710396	0.000000	0.000007	0.703622	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585245710394675400.png
1585245710440	0.000000	0.000007	0.703678	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000001	img__0_1585245710439570500.png
1585245710487	0.000000	0.000007	0.703599	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710486392800.png
1585245710532	0.000000	0.000007	0.703657	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585245710531478800.png
1585245710591	0.000000	0.000007	0.703551	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585245710589481300.png
1585245710639	0.000000	0.000007	0.703364	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710637300600.png
1585245710682	0.000000	0.000007	0.703311	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710680699500.png
1585245710741	0.000000	0.000007	0.703477	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710738186000.png
1585245710787	0.000000	0.000007	0.703475	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710786084700.png
1585245710832	0.000000	0.000007	0.703532	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710831104000.png
1585245710890	0.000000	0.000007	0.703630	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585245710889063900.png
