TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1585256379405	0.000000	0.000000	0.703477	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000001	img__0_1585256379403505900.png
1585256379455	0.000000	0.000000	0.703636	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585256379454040600.png
1585256379506	0.000000	0.000000	0.703537	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256379502945400.png
1585256379555	0.000000	0.000000	0.703568	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256379554285400.png
1585256379604	0.000000	0.000000	0.703533	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256379603278100.png
1585256379654	0.000000	0.000000	0.703499	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256379652038600.png
1585256379706	0.000000	0.000000	0.703569	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585256379702764200.png
1585256379754	0.000000	0.000000	0.703581	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256379751933400.png
1585256379804	0.000000	0.000000	0.703539	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000001	img__0_1585256379801718900.png
1585256379855	0.000000	0.000000	0.703677	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256379853533300.png
1585256379905	0.000000	0.000000	0.703568	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256379901813300.png
1585256379949	0.000000	0.000000	0.703670	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256379947805800.png
1585256379997	0.000000	0.000000	0.703812	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256379995477900.png
1585256380061	0.000000	0.000000	0.703506	1.000000	0.000031	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256380059673500.png
1585256380107	0.000000	0.000000	0.703589	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256380105793600.png
1585256380160	0.000000	0.000000	0.703654	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1585256380152197200.png
1585256380201	0.000000	0.000000	0.703616	1.000000	0.000031	0.000000	-0.000000	0.000000	0.000000	0.000000	0	0	0.000000	-0.000000	img__0_1585256380200100000.png
