TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1586431034392	-0.020781	5.107656	1.256428	0.701201	0.044905	0.045744	-0.710076	0.000000	0.000000	0.000000	0	0	0.000000	0.000104	img__0_1586431034390473300.png
1586431034447	-0.020859	5.106992	1.256541	0.701207	0.044928	0.045660	-0.710074	0.000000	0.000000	0.000000	0	0	0.000000	0.000605	img__0_1586431034445384500.png
1586431034501	-0.020937	5.107031	1.256627	0.701209	0.044933	0.045615	-0.710075	0.000000	0.000000	0.000000	0	0	0.000000	0.001398	img__0_1586431034499601500.png
1586431034555	-0.020977	5.106914	1.256263	0.701207	0.045019	0.045633	-0.710070	0.000000	0.000000	0.000000	0	0	0.000000	0.000422	img__0_1586431034553697500.png
1586431034609	-0.021016	5.106992	1.256460	0.701210	0.044996	0.045585	-0.710072	0.000000	0.000000	0.000000	0	0	0.000000	0.001077	img__0_1586431034608172800.png
1586431034662	-0.021055	5.106875	1.256085	0.701207	0.045080	0.045613	-0.710067	0.000000	0.000000	0.000000	0	0	0.000000	0.000335	img__0_1586431034660285900.png
1586431034713	-0.021055	5.106953	1.256309	0.701209	0.045048	0.045568	-0.710071	0.000000	0.000000	0.000000	0	0	0.000000	0.000624	img__0_1586431034712310000.png
1586431034769	-0.021094	5.106914	1.256125	0.701207	0.045093	0.045575	-0.710069	0.000000	0.000000	0.000000	0	0	0.000000	0.000159	img__0_1586431034767392000.png
1586431034821	-0.021094	5.106953	1.256262	0.701208	0.045072	0.045552	-0.710072	0.000000	0.000000	0.000000	0	0	0.000000	-0.000375	img__0_1586431034820040500.png
1586431034875	-0.021133	5.106953	1.256223	0.701207	0.045083	0.045551	-0.710072	0.000000	0.000000	0.000000	0	0	0.000000	-0.000201	img__0_1586431034874057400.png
1586431034929	-0.021133	5.106953	1.256285	0.701206	0.045073	0.045539	-0.710074	0.000000	0.000000	0.000000	0	0	0.000000	0.000611	img__0_1586431034927615000.png
1586431034980	-0.021133	5.106875	1.256306	0.701206	0.045121	0.045595	-0.710067	0.000000	0.000000	0.000000	0	0	0.000000	0.000506	img__0_1586431034978265100.png
1586431035033	-0.021133	5.106719	1.256186	0.701200	0.045231	0.045671	-0.710061	0.000000	0.000000	0.000000	0	0	0.000000	-0.000050	img__0_1586431035031548700.png
1586431035086	-0.021172	5.106601	1.256044	0.701195	0.045289	0.045710	-0.710060	0.000000	0.000000	0.000000	0	0	0.000000	0.000104	img__0_1586431035085431200.png
1586431035137	-0.021133	5.106524	1.256169	0.701191	0.045307	0.045768	-0.710059	0.000000	0.000000	0.000000	0	0	0.000000	0.000457	img__0_1586431035136054800.png
1586431035197	-0.021133	5.106484	1.256006	0.701185	0.045357	0.045812	-0.710059	0.000000	0.000000	0.000000	0	0	0.000000	-0.000292	img__0_1586431035195482500.png
1586431035257	-0.021133	5.106367	1.256179	0.701180	0.045399	0.045865	-0.710058	0.000000	0.000000	0.000000	0	0	0.000000	0.000224	img__0_1586431035255748800.png
1586431035318	-0.021133	5.106289	1.256128	0.701174	0.045456	0.045930	-0.710056	0.000000	0.000000	0.000000	0	0	0.000000	0.000073	img__0_1586431035315667000.png
1586431035378	-0.021172	5.106250	1.255903	0.701171	0.045509	0.045941	-0.710055	0.000000	0.000000	0.000000	0	0	0.000000	-0.000155	img__0_1586431035375621300.png
1586431035429	-0.021211	5.106211	1.256147	0.701168	0.045547	0.045940	-0.710055	0.000000	0.000000	0.000000	0	0	0.000000	0.000031	img__0_1586431035427796300.png
1586431035488	-0.021250	5.106172	1.255974	0.701165	0.045595	0.045937	-0.710056	0.000000	0.000000	0.000000	0	0	0.000000	-0.000069	img__0_1586431035486203600.png
1586431035547	-0.021250	5.106133	1.256127	0.701166	0.045597	0.045951	-0.710053	0.000000	0.000000	0.000000	0	0	0.000000	0.000115	img__0_1586431035545959200.png
1586431035602	-0.021211	5.106093	1.256311	0.701163	0.045604	0.045998	-0.710053	0.000000	0.000000	0.000000	0	0	0.000000	0.000009	img__0_1586431035600321000.png
1586431035654	-0.021211	5.106016	1.256287	0.701158	0.045661	0.046035	-0.710051	0.000000	0.000000	0.000000	0	0	0.000000	0.000130	img__0_1586431035652421400.png
1586431035708	-0.021250	5.105898	1.256306	0.701154	0.045730	0.046074	-0.710049	0.000000	0.000000	0.000000	0	0	0.000000	0.000325	img__0_1586431035706593800.png
1586431035761	-0.021250	5.105820	1.256340	0.701149	0.045793	0.046124	-0.710046	0.000000	0.000000	0.000000	0	0	0.000000	-0.000303	img__0_1586431035759687400.png
1586431035814	-0.021289	5.105664	1.256316	0.701144	0.045872	0.046187	-0.710042	0.000000	0.000000	0.000000	0	0	0.000000	0.000475	img__0_1586431035811837500.png
1586431035866	-0.021367	5.105547	1.256191	0.701136	0.045975	0.046219	-0.710041	0.000000	0.000000	0.000000	0	0	0.000000	0.000229	img__0_1586431035864822900.png
1586431035921	-0.021406	5.105469	1.256216	0.701132	0.046047	0.046225	-0.710040	0.000000	0.000000	0.000000	0	0	0.000000	-0.000714	img__0_1586431035920166900.png
1586431035974	-0.021406	5.105430	1.256301	0.701130	0.046089	0.046260	-0.710037	0.000000	0.000000	0.000000	0	0	0.000000	0.000372	img__0_1586431035973215300.png
1586431036029	-0.021445	5.105351	1.256287	0.701125	0.046154	0.046292	-0.710036	0.000000	0.000000	0.000000	0	0	0.000000	0.000242	img__0_1586431036026982900.png
1586431036081	-0.021445	5.105312	1.256304	0.701121	0.046190	0.046325	-0.710035	1.000000	0.000000	0.000000	0	0	20.850288	0.000322	img__0_1586431036079915400.png
1586431036137	-0.021484	5.105195	1.256017	0.701117	0.046267	0.046359	-0.710032	1.000000	0.000000	0.000000	0	0	108.053116	-0.000171	img__0_1586431036133823200.png
1586431036187	-0.021523	5.105156	1.256000	0.701114	0.046310	0.046383	-0.710031	1.000000	0.000000	0.000000	0	0	260.040314	-0.000471	img__0_1586431036185191200.png
1586431036242	-0.021523	5.105039	1.255980	0.701111	0.046352	0.046407	-0.710029	1.000000	0.000000	0.000000	0	0	493.720154	-0.000226	img__0_1586431036240873500.png
1586431036297	-0.021484	5.105000	1.255875	0.701113	0.046331	0.046423	-0.710027	1.000000	0.000000	0.000000	0	0	746.626343	-0.000020	img__0_1586431036296008800.png
1586431036353	-0.021445	5.105039	1.255520	0.701117	0.046287	0.046440	-0.710025	1.000000	0.000000	0.000000	0	0	993.014404	-0.000054	img__0_1586431036349728700.png
1586431036404	-0.021367	5.105000	1.255432	0.701120	0.046238	0.046467	-0.710023	1.000000	0.000000	0.000000	0	0	1182.132568	-0.000030	img__0_1586431036402171500.png
1586431036460	-0.021328	5.105039	1.255320	0.701123	0.046208	0.046483	-0.710021	1.000000	0.000000	0.000000	0	0	1159.049561	-0.000123	img__0_1586431036458644600.png
1586431036515	-0.021289	5.105000	1.255378	0.701125	0.046188	0.046493	-0.710020	1.000000	0.000000	0.000000	0	0	1136.747192	-0.000069	img__0_1586431036514243500.png
1586431036569	-0.021250	5.105000	1.255212	0.701128	0.046161	0.046504	-0.710019	1.000000	0.000000	0.000000	1	0	1093.293823	0.045366	img__0_1586431036567733500.png
1586431036628	-0.021250	5.100000	1.254462	0.701116	0.046340	0.046722	-0.710004	1.000000	0.000000	0.000000	1	0	1186.858521	0.256768	img__0_1586431036624921200.png
1586431036688	-0.021484	5.081523	1.251890	0.701096	0.046656	0.047075	-0.709980	1.000000	0.000000	0.000000	1	0	1299.737427	0.469030	img__0_1586431036686423500.png
1586431036746	-0.021875	5.051758	1.247837	0.701081	0.046888	0.047339	-0.709962	0.000000	0.000000	0.000000	1	0	1271.202515	0.653039	img__0_1586431036745030900.png
1586431036807	-0.022383	5.011875	1.242598	0.701072	0.047033	0.047510	-0.709950	0.000000	0.000000	0.000000	1	0	1053.651733	0.790168	img__0_1586431036805232000.png
1586431036865	-0.023086	4.961445	1.235721	0.701075	0.046995	0.047495	-0.709950	0.000000	0.000000	0.000000	1	0	867.564331	0.846302	img__0_1586431036864210600.png
1586431036920	-0.023633	4.916758	1.230305	0.701083	0.046870	0.047385	-0.709958	0.000000	0.000000	0.000000	1	0	733.555176	0.866365	img__0_1586431036918138600.png
1586431036973	-0.024219	4.868984	1.224075	0.701094	0.046709	0.047238	-0.709967	0.000000	0.000000	0.000000	1	0	625.309082	0.863638	img__0_1586431036971431400.png
1586431037027	-0.024766	4.825351	1.218275	0.701105	0.046551	0.047090	-0.709977	0.000000	0.000000	0.000000	1	0	537.655884	0.843341	img__0_1586431037025070700.png
1586431037077	-0.025273	4.780391	1.212856	0.701116	0.046380	0.046928	-0.709988	0.000000	0.000000	0.000000	1	0	468.687500	0.811450	img__0_1586431037076106800.png
1586431037131	-0.025820	4.739258	1.207364	0.701127	0.046230	0.046783	-0.709997	0.000000	0.000000	0.000000	1	0	408.596344	0.768182	img__0_1586431037129627000.png
1586431037185	-0.026328	4.699883	1.202179	0.701136	0.046092	0.046649	-0.710006	0.000000	0.000000	0.000000	1	0	357.617676	0.716781	img__0_1586431037184259100.png
1586431037236	-0.026875	4.661914	1.197612	0.701144	0.045962	0.046522	-0.710014	0.000000	0.000000	0.000000	1	0	317.111298	0.663805	img__0_1586431037235184900.png
1586431037290	-0.027266	4.629062	1.193414	0.701151	0.045856	0.046417	-0.710021	0.000000	0.000000	0.000000	1	0	280.845764	0.605397	img__0_1586431037288478600.png
1586431037343	-0.027656	4.598984	1.189434	0.701157	0.045766	0.046328	-0.710027	0.000000	0.000000	0.000000	1	0	249.025330	0.544395	img__0_1586431037342388400.png
1586431037395	-0.028047	4.570000	1.185780	0.701163	0.045685	0.046249	-0.710032	0.000000	0.000000	0.000000	1	0	222.286835	0.485428	img__0_1586431037393695500.png
1586431037449	-0.028359	4.545703	1.182395	0.701166	0.045622	0.046187	-0.710036	0.000000	0.000000	0.000000	1	0	196.859085	0.422496	img__0_1586431037447768500.png
1586431037502	-0.028672	4.524531	1.179501	0.701170	0.045572	0.046139	-0.710039	0.000000	0.000000	0.000000	1	0	174.576248	0.361742	img__0_1586431037500513600.png
1586431037561	-0.028906	4.505352	1.177222	0.701172	0.045529	0.046096	-0.710042	0.000000	0.000000	0.000000	1	0	152.665710	0.296764	img__0_1586431037557243400.png
1586431037615	-0.029141	4.489258	1.174780	0.701175	0.045497	0.046065	-0.710044	0.000000	0.000000	0.000000	1	0	132.627808	0.233435	img__0_1586431037613872100.png
1586431037669	-0.029297	4.477304	1.173474	0.701176	0.045475	0.046044	-0.710045	0.000000	0.000000	0.000000	1	0	114.978287	0.174366	img__0_1586431037667423700.png
1586431037724	-0.029414	4.470742	1.172456	0.701177	0.045463	0.046032	-0.710046	0.000000	0.000000	0.000000	1	0	97.871429	0.114583	img__0_1586431037722425400.png
1586431037764	-0.029531	4.464101	1.171663	0.701178	0.045452	0.046022	-0.710046	0.000000	0.000000	0.000000	1	0	86.120300	0.072413	img__0_1586431037762421200.png
1586431037819	-0.029531	4.460898	1.171307	0.701178	0.045447	0.046016	-0.710047	0.000000	0.000000	0.000000	1	0	70.565964	0.014924	img__0_1586431037818406700.png
1586431037873	-0.029531	4.460625	1.171710	0.701178	0.045445	0.046015	-0.710047	0.000000	0.000000	0.000000	1	0	56.486626	-0.038492	img__0_1586431037871518100.png
1586431037926	-0.029531	4.463203	1.171702	0.701178	0.045447	0.046016	-0.710047	0.000000	0.000000	0.000000	1	0	43.163155	-0.089593	img__0_1586431037924388800.png
1586431037977	-0.029453	4.468515	1.172696	0.701178	0.045452	0.046022	-0.710046	0.000000	0.000000	0.000000	1	0	30.659382	-0.138554	img__0_1586431037975835300.png
1586431038031	-0.029375	4.476211	1.173718	0.701177	0.045459	0.046029	-0.710046	0.000000	0.000000	0.000000	1	0	18.238981	-0.187759	img__0_1586431038029841100.png
1586431038085	-0.029180	4.486367	1.174669	0.701177	0.045468	0.046038	-0.710045	0.000000	0.000000	0.000000	1	0	5.989864	-0.236404	img__0_1586431038083820200.png
1586431038138	-0.029063	4.500000	1.176781	0.701176	0.045479	0.046047	-0.710044	0.000000	0.000000	0.000000	1	0	0.000000	-0.282636	img__0_1586431038137002700.png
1586431038192	-0.028867	4.514961	1.178365	0.701175	0.045492	0.046059	-0.710044	0.000000	0.000000	0.000000	1	0	0.000000	-0.325921	img__0_1586431038190906500.png
1586431038249	-0.028633	4.533750	1.180884	0.701174	0.045509	0.046076	-0.710043	0.000000	0.000000	0.000000	1	0	0.000000	-0.367953	img__0_1586431038247574300.png
1586431038303	-0.028398	4.554922	1.183606	0.701173	0.045532	0.046096	-0.710041	0.000000	0.000000	0.000000	1	0	0.000000	-0.404476	img__0_1586431038300957600.png
1586431038357	-0.028164	4.576562	1.186455	0.701172	0.045555	0.046118	-0.710040	0.000000	0.000000	0.000000	1	0	0.000000	-0.439042	img__0_1586431038355896800.png
1586431038409	-0.027930	4.599180	1.189210	0.701170	0.045578	0.046141	-0.710038	0.000000	0.000000	0.000000	1	0	0.000000	-0.469013	img__0_1586431038407168600.png
1586431038460	-0.027617	4.624258	1.192830	0.701169	0.045603	0.046165	-0.710036	0.000000	0.000000	0.000000	1	0	0.000000	-0.497260	img__0_1586431038459263200.png
1586431038516	-0.027227	4.650312	1.196284	0.701167	0.045627	0.046188	-0.710035	0.000000	0.000000	0.000000	1	0	0.000000	-0.524919	img__0_1586431038513995500.png
1586431038577	-0.026758	4.681836	1.199796	0.701165	0.045652	0.046215	-0.710033	0.000000	0.000000	0.000000	1	0	0.000000	-0.552287	img__0_1586431038573342800.png
1586431038634	-0.026289	4.714726	1.203978	0.701164	0.045678	0.046242	-0.710031	0.000000	0.000000	0.000000	1	0	0.000000	-0.577358	img__0_1586431038633061000.png
1586431038687	-0.025898	4.745859	1.208563	0.701163	0.045701	0.046265	-0.710029	0.000000	0.000000	0.000000	1	0	0.000000	-0.598391	img__0_1586431038686123300.png
1586431038743	-0.025508	4.776719	1.212554	0.701161	0.045722	0.046287	-0.710028	0.000000	0.000000	0.000000	1	0	0.000000	-0.617823	img__0_1586431038739691100.png
