TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1586430586088	0.014648	-7.468945	1.436895	0.709722	-0.021063	0.020921	0.703856	0.000000	0.000000	0.000000	0	0	0.000000	-0.000111	img__0_1586430586086769100.png
1586430586170	0.014648	-7.468945	1.437190	0.709722	-0.021064	0.020923	0.703856	0.000000	0.000000	0.000000	0	0	0.000000	-0.000104	img__0_1586430586169316000.png
1586430586250	0.014648	-7.468945	1.437085	0.709721	-0.021064	0.020922	0.703857	0.000000	0.000000	0.000000	0	0	0.000000	-0.000106	img__0_1586430586248637800.png
1586430586329	0.014648	-7.468945	1.437092	0.709721	-0.021064	0.020922	0.703857	0.000000	0.000000	0.000000	0	0	0.000000	-0.000061	img__0_1586430586328503600.png
1586430586408	0.014648	-7.468945	1.436997	0.709721	-0.021063	0.020922	0.703857	0.000000	0.000000	0.000000	0	0	0.000000	-0.000094	img__0_1586430586406982300.png
1586430586486	0.014648	-7.468945	1.436960	0.709720	-0.021063	0.020921	0.703858	0.000000	0.000000	0.000000	0	0	0.000000	-0.000105	img__0_1586430586484944900.png
1586430586569	0.014648	-7.468945	1.437043	0.709720	-0.021063	0.020921	0.703858	0.000000	0.000000	0.000000	0	0	0.000000	-0.000098	img__0_1586430586567831100.png
1586430586647	0.014648	-7.468945	1.436980	0.709720	-0.021062	0.020921	0.703858	0.000000	0.000000	0.000000	0	0	0.000000	-0.000088	img__0_1586430586645981900.png
1586430586724	0.014648	-7.468945	1.436924	0.709719	-0.021062	0.020921	0.703859	0.000000	0.000000	0.000000	0	0	0.000000	-0.000114	img__0_1586430586723257300.png
1586430586803	0.014648	-7.468945	1.436973	0.709719	-0.021062	0.020920	0.703859	0.000000	0.000000	0.000000	0	0	0.000000	-0.000102	img__0_1586430586802289600.png
1586430586880	0.014648	-7.468945	1.436921	0.709719	-0.021062	0.020920	0.703859	0.000000	0.000000	0.000000	0	0	0.000000	-0.000085	img__0_1586430586878822000.png
1586430586974	0.014648	-7.468945	1.436834	0.709718	-0.021062	0.020920	0.703860	0.000000	0.000000	0.000000	0	0	0.000000	-0.000102	img__0_1586430586973256300.png
1586430587062	0.014648	-7.468945	1.436968	0.709718	-0.021062	0.020921	0.703860	0.000000	0.000000	0.000000	0	0	0.000000	-0.000121	img__0_1586430587057752900.png
1586430587149	0.014648	-7.468945	1.437251	0.709717	-0.021064	0.020923	0.703861	0.000000	0.000000	0.000000	0	0	0.000000	-0.000074	img__0_1586430587148259400.png
1586430587228	0.014648	-7.468945	1.437134	0.709717	-0.021064	0.020922	0.703861	1.000000	0.000000	0.000000	0	0	12.747144	-0.000114	img__0_1586430587226769800.png
1586430587308	0.014648	-7.468945	1.437109	0.709717	-0.021064	0.020922	0.703861	1.000000	0.000000	0.000000	0	0	149.198608	-0.000097	img__0_1586430587306176400.png
1586430587386	0.014648	-7.468945	1.437053	0.709716	-0.021064	0.020922	0.703862	1.000000	0.000000	0.000000	0	0	443.064880	-0.000090	img__0_1586430587385138000.png
1586430587463	0.014648	-7.468945	1.436997	0.709716	-0.021063	0.020921	0.703862	1.000000	0.000000	0.000000	0	0	794.617065	-0.000088	img__0_1586430587461981300.png
1586430587543	0.014648	-7.468945	1.437014	0.709716	-0.021063	0.020921	0.703863	1.000000	0.000000	0.000000	0	0	1159.450073	-0.000106	img__0_1586430587542486200.png
1586430587624	0.014648	-7.468945	1.437058	0.709715	-0.021063	0.020922	0.703863	1.000000	0.000000	0.000000	0	0	1191.267334	-0.000087	img__0_1586430587622809700.png
1586430587703	0.014648	-7.468945	1.436960	0.709715	-0.021062	0.020922	0.703863	1.000000	0.000000	0.000000	0	0	1158.823364	-0.000085	img__0_1586430587701481000.png
1586430587783	0.014687	-7.463672	1.436606	0.709708	-0.021283	0.021146	0.703857	1.000000	0.000000	0.000000	1	0	1213.997070	0.301398	img__0_1586430587782388800.png
1586430587863	0.014922	-7.432656	1.434558	0.709691	-0.021797	0.021665	0.703842	1.000000	0.000000	0.000000	1	0	1364.056396	0.619540	img__0_1586430587862319100.png
1586430587943	0.015391	-7.376328	1.431130	0.709679	-0.022146	0.022019	0.703833	1.000000	0.000000	0.000000	1	0	1526.056030	0.916891	img__0_1586430587942196600.png
1586430588027	0.016094	-7.296172	1.426374	0.709671	-0.022359	0.022233	0.703828	1.000000	0.000000	0.000000	1	0	1697.225342	1.201390	img__0_1586430588023646700.png
1586430588107	0.016992	-7.191953	1.420208	0.709665	-0.022479	0.022355	0.703825	1.000000	0.000000	0.000000	1	0	1874.348267	1.475580	img__0_1586430588105527600.png
1586430588188	0.018008	-7.067812	1.412895	0.709661	-0.022544	0.022419	0.703825	1.000000	0.000000	0.000000	1	0	2053.035889	1.739547	img__0_1586430588186759300.png
