TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1587266883389	0.000039	9.661914	0.085398	0.706713	-0.022691	0.022735	0.706771	0.000000	0.000000	0.000000	1	0	146.945633	0.472623	img__0_1587266883386806900.png
1587266883439	0.000039	9.695391	0.083179	0.706712	-0.022710	0.022755	0.706770	0.000000	0.000000	0.000000	1	0	131.948044	0.411068	img__0_1587266883437047000.png
1587266883510	0.000039	9.715000	0.081819	0.706712	-0.022723	0.022769	0.706770	0.000000	0.000000	0.000000	1	0	124.077934	0.378959	img__0_1587266883506264400.png
1587266883557	0.000039	9.732539	0.080774	0.706711	-0.022736	0.022782	0.706769	0.000000	0.000000	0.000000	1	0	114.500824	0.339652	img__0_1587266883555551500.png
1587266883601	0.000039	9.754961	0.079172	0.706711	-0.022753	0.022798	0.706769	0.000000	0.000000	0.000000	1	0	103.156799	0.293358	img__0_1587266883599275500.png
1587266883666	0.000039	9.773203	0.077957	0.706711	-0.022768	0.022814	0.706768	0.000000	0.000000	0.000000	1	0	92.487572	0.249811	img__0_1587266883663712600.png
1587266883728	0.000039	9.784452	0.077312	0.706710	-0.022780	0.022825	0.706768	0.000000	0.000000	0.000000	1	0	86.338661	0.224797	img__0_1587266883725040900.png
1587266884025	0.000078	9.808828	0.076550	0.706655	-0.022765	0.022817	0.706823	1.000000	0.000000	0.000000	1	0	426.493073	0.069393	img__0_1587266884023240300.png
1587266884143	0.000078	9.816524	0.075969	0.706713	-0.022817	0.022863	0.706763	1.000000	0.000000	0.000000	1	0	454.357208	0.093080	img__0_1587266884141468600.png
1587266884192	0.000039	9.848672	0.073083	0.706698	-0.023458	0.023503	0.706736	1.000000	0.000000	0.000000	1	0	756.874573	0.492619	img__0_1587266884190596400.png
1587266884265	0.000039	9.887930	0.070183	0.706686	-0.023792	0.023837	0.706726	1.000000	0.000000	0.000000	1	0	940.800293	0.717160	img__0_1587266884263939600.png
