TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1587266979759	-0.001797	12.755078	-0.113926	0.706697	-0.021766	0.021812	0.706845	0.000000	0.000000	0.000000	1	0	848.010010	4.715618	img__0_1587266979757798400.png
1587266979834	-0.001797	13.084805	-0.134910	0.706706	-0.021561	0.021609	0.706848	0.000000	0.000000	0.000000	1	0	850.683350	4.434830	img__0_1587266979832812700.png
1587266979907	-0.001797	13.403554	-0.155381	0.706714	-0.021415	0.021462	0.706850	1.000000	0.000000	0.000000	1	0	950.221924	4.189596	img__0_1587266979905123700.png
1587266979979	-0.001797	13.698399	-0.174353	0.706717	-0.021366	0.021410	0.706849	1.000000	0.000000	0.000000	1	0	1205.852539	3.997796	img__0_1587266979976951100.png
1587266980051	-0.001797	13.989648	-0.193059	0.706716	-0.021452	0.021497	0.706845	1.000000	0.000000	0.000000	1	0	1559.112915	3.892809	img__0_1587266980050078000.png
1587266980122	-0.001797	14.262578	-0.210693	0.706709	-0.021670	0.021717	0.706838	1.000000	0.000000	0.000000	1	0	1850.165405	3.878958	img__0_1587266980120264900.png
1587266980193	-0.001797	14.538047	-0.228396	0.706700	-0.021970	0.022015	0.706830	1.000000	0.000000	0.000000	1	0	2110.857178	3.920672	img__0_1587266980191571900.png
1587266980264	-0.001211	14.822070	-0.246614	0.706873	-0.022248	0.022343	0.706638	1.000000	-1.000000	0.000000	1	0	2349.871338	3.993329	img__0_1587266980263134600.png
1587266980335	0.008594	15.101874	-0.264568	0.709699	-0.022188	0.022874	0.703784	1.000000	-1.000000	0.000000	1	0	2571.174072	4.071548	img__0_1587266980333638100.png
1587266980407	0.035234	15.394843	-0.283228	0.716698	-0.021818	0.023549	0.696644	1.000000	0.000000	0.000000	1	0	2785.948486	4.173423	img__0_1587266980405726300.png
1587266980478	0.065625	15.692461	-0.302192	0.723047	-0.021943	0.023763	0.690041	1.000000	0.000000	0.000000	1	0	2988.103271	4.306494	img__0_1587266980476263700.png
1587266980554	0.084648	16.011484	-0.322366	0.724292	-0.022675	0.023362	0.688725	1.000000	0.000000	0.000000	1	0	3194.116211	4.459720	img__0_1587266980552849800.png
1587266980626	0.102109	16.347694	-0.343665	0.724393	-0.023238	0.023042	0.688610	1.000000	0.000000	0.000000	1	0	3379.558594	4.611059	img__0_1587266980624619100.png
1587266980696	0.120977	16.669531	-0.364048	0.725046	-0.023478	0.022946	0.687917	1.000000	-1.000000	0.000000	1	0	3557.710693	4.754465	img__0_1587266980694648000.png
1587266980773	0.155430	17.019257	-0.385955	0.729480	-0.023188	0.023223	0.683214	1.000000	0.000000	0.000000	1	0	3749.656982	4.912884	img__0_1587266980771701600.png
1587266980860	0.198086	17.441172	-0.412612	0.733535	-0.023288	0.023143	0.678858	1.000000	0.000000	0.000000	1	0	3960.538086	5.113635	img__0_1587266980858950300.png
1587266980938	0.232539	17.870274	-0.439749	0.733833	-0.023699	0.022783	0.678534	1.000000	0.000000	0.000000	1	0	4140.195313	5.303898	img__0_1587266980937058900.png
1587266981010	0.262344	18.246601	-0.463064	0.733850	-0.023877	0.022577	0.678517	1.000000	0.000000	0.000000	1	0	4302.295898	5.479783	img__0_1587266981008341700.png
1587266981080	0.293164	18.635859	-0.487075	0.733852	-0.023954	0.022429	0.678516	1.000000	0.000000	0.000000	1	0	4458.459961	5.651080	img__0_1587266981078903600.png
1587266981151	0.324805	19.036327	-0.511719	0.733854	-0.023969	0.022324	0.678517	1.000000	0.000000	0.000000	1	0	4615.396484	5.827705	img__0_1587266981150203700.png
1587266981222	0.357695	19.452187	-0.537192	0.733857	-0.023918	0.022222	0.678519	1.000000	0.000000	0.000000	1	0	4766.836426	6.000998	img__0_1587266981220270700.png
1587266981299	0.392891	19.897305	-0.564346	0.733860	-0.023852	0.022138	0.678521	1.000000	0.000000	0.000000	0	0	4957.396973	6.196098	img__0_1587266981297919500.png
1587266981370	0.428828	20.352812	-0.591914	0.733870	-0.023535	0.021814	0.678531	1.000000	0.000000	0.000000	0	0	4835.420898	6.147644	img__0_1587266981369255800.png
1587266981442	0.464023	20.788906	-0.618088	0.734099	-0.023054	0.021384	0.678314	1.000000	-1.000000	0.000000	0	0	4715.391113	6.095960	img__0_1587266981440942500.png
1587266981520	0.503320	21.216406	-0.643745	0.735530	-0.022725	0.021334	0.676774	1.000000	-1.000000	0.000000	2	0	4438.849609	6.297723	img__0_1587266981510916900.png
1587266981585	0.544336	21.672499	-0.671064	0.736335	-0.022877	0.021530	0.675887	1.000000	0.000000	0.000000	2	0	4383.574707	6.555405	img__0_1587266981583586700.png
1587266981655	0.585039	22.139765	-0.698882	0.736485	-0.023023	0.021575	0.675717	1.000000	0.000000	0.000000	2	0	4336.739258	6.798454	img__0_1587266981653519900.png
1587266981725	0.626250	22.614960	-0.726934	0.736512	-0.023072	0.021538	0.675688	1.000000	0.000000	0.000000	2	0	4295.978027	7.036674	img__0_1587266981723896700.png
1587266981797	0.670625	23.125858	-0.756882	0.736518	-0.023059	0.021465	0.675684	1.000000	0.000000	0.000000	2	0	4260.753418	7.275158	img__0_1587266981795660200.png
