TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1586430794742	-0.006094	5.099141	1.254276	0.704606	0.046266	0.046360	-0.706570	0.000000	0.000000	0.000000	1	0	0.000013	-0.000223	img__0_1586430794740685900.png
1586430794827	-0.006094	5.099102	1.254429	0.704607	0.046269	0.046362	-0.706568	0.000000	0.000000	0.000000	1	0	0.000011	-0.000207	img__0_1586430794825531700.png
1586430794907	-0.006094	5.099102	1.254359	0.704608	0.046268	0.046361	-0.706568	0.000000	0.000000	0.000000	1	0	0.000009	-0.000192	img__0_1586430794905656200.png
1586430794985	-0.006094	5.099141	1.254192	0.704609	0.046266	0.046359	-0.706567	0.000000	0.000000	0.000000	1	0	0.000008	0.000000	img__0_1586430794983383800.png
1586430795065	-0.006094	5.099141	1.254231	0.704610	0.046267	0.046359	-0.706566	0.000000	0.000000	0.000000	1	0	0.000007	-0.000184	img__0_1586430795063901500.png
1586430795146	-0.006094	5.099141	1.254149	0.704611	0.046265	0.046358	-0.706565	0.000000	0.000000	0.000000	1	0	0.000006	-0.000222	img__0_1586430795143914300.png
1586430795243	-0.006094	5.099141	1.253987	0.704612	0.046263	0.046357	-0.706564	0.000000	0.000000	0.000000	1	0	0.000005	-0.000246	img__0_1586430795241472700.png
1586430795325	-0.006094	5.099141	1.254174	0.704613	0.046266	0.046360	-0.706563	0.000000	0.000000	0.000000	1	0	0.000004	-0.000198	img__0_1586430795323943300.png
1586430795405	-0.006094	5.099141	1.254153	0.704614	0.046265	0.046358	-0.706562	0.000000	0.000000	0.000000	1	0	0.000003	0.000000	img__0_1586430795403968600.png
1586430795482	-0.006094	5.099141	1.254048	0.704615	0.046263	0.046356	-0.706561	0.000000	0.000000	0.000000	1	0	0.000003	-0.000213	img__0_1586430795480817800.png
1586430795563	-0.006094	5.099141	1.254089	0.704616	0.046262	0.046356	-0.706561	0.000000	0.000000	0.000000	1	0	0.000003	-0.000243	img__0_1586430795560669400.png
1586430795642	-0.006094	5.099141	1.254114	0.704616	0.046264	0.046356	-0.706560	0.000000	0.000000	0.000000	1	0	0.000002	-0.000222	img__0_1586430795640264600.png
1586430795724	-0.006094	5.099141	1.254111	0.704618	0.046264	0.046356	-0.706559	0.000000	0.000000	0.000000	1	0	0.000002	-0.000252	img__0_1586430795722647900.png
1586430795802	-0.006094	5.099141	1.254094	0.704618	0.046264	0.046357	-0.706558	0.000000	0.000000	0.000000	1	0	0.000002	-0.000226	img__0_1586430795800691900.png
1586430795880	-0.006094	5.099141	1.254059	0.704619	0.046263	0.046356	-0.706557	0.000000	0.000000	0.000000	1	0	0.000001	-0.000229	img__0_1586430795879098300.png
1586430795963	-0.006094	5.099141	1.254138	0.704620	0.046264	0.046358	-0.706556	0.000000	0.000000	0.000000	1	0	0.000001	-0.000238	img__0_1586430795959862100.png
1586430796047	-0.006094	5.099141	1.254228	0.704621	0.046265	0.046359	-0.706555	0.000000	0.000000	0.000000	1	0	0.000001	-0.000230	img__0_1586430796046211700.png
1586430796131	-0.006094	5.099141	1.254219	0.704622	0.046265	0.046359	-0.706554	0.000000	0.000000	0.000000	1	0	0.000001	-0.000194	img__0_1586430796129709800.png
1586430796212	-0.006094	5.099141	1.254094	0.704623	0.046264	0.046357	-0.706553	0.000000	0.000000	0.000000	1	0	0.000001	-0.000217	img__0_1586430796210736600.png
1586430796296	-0.006094	5.099141	1.254209	0.704624	0.046266	0.046359	-0.706552	0.000000	0.000000	0.000000	1	0	0.000001	-0.000188	img__0_1586430796295565800.png
1586430796380	-0.006094	5.099141	1.254092	0.704625	0.046263	0.046355	-0.706551	0.000000	0.000000	0.000000	1	0	0.000001	-0.000229	img__0_1586430796376457900.png
1586430796458	-0.006094	5.099141	1.254083	0.704626	0.046264	0.046356	-0.706550	0.000000	0.000000	0.000000	1	0	0.000000	-0.000206	img__0_1586430796456881500.png
1586430796540	-0.006094	5.099141	1.254061	0.704627	0.046265	0.046356	-0.706549	0.000000	0.000000	0.000000	1	0	0.000000	-0.000206	img__0_1586430796538443200.png
1586430796621	-0.006094	5.099765	1.254199	0.704628	0.046226	0.046317	-0.706553	1.000000	0.000000	0.000000	1	0	38.323269	-0.006561	img__0_1586430796619643100.png
